,batsman,no_of_outs,balls,batsman_runs,number_of_innings,no_4,no_6,not_outs,finish_ability,consistency,running_run,running_balls,running_btw_wicket,hard_hit_ability
128,S Gill,15,376,517,23,45,15,8,0.34782608695652173,34.46666666666667,247,316,0.7816455696202531,0.1595744680851064
129,MM Sharma,15,117,124,25,9,4,10,0.4,8.266666666666667,64,104,0.6153846153846154,0.1111111111111111
130,MP Stoinis,15,363,482,25,34,18,10,0.4,32.13333333333333,238,311,0.7652733118971061,0.14325068870523416
131,C de Grandhomme,15,224,313,21,18,17,6,0.2857142857142857,20.866666666666667,139,189,0.7354497354497355,0.15625
132,OA Shah,15,388,506,22,34,23,7,0.3181818181818182,33.733333333333334,232,331,0.7009063444108762,0.14690721649484537
133,SN Khan,15,283,416,22,44,11,7,0.3181818181818182,27.733333333333334,174,228,0.7631578947368421,0.19434628975265017
134,B Chipli,15,250,280,21,28,7,6,0.2857142857142857,18.666666666666668,126,215,0.586046511627907,0.14
135,RP Singh,15,76,52,28,2,1,13,0.4642857142857143,3.466666666666667,38,73,0.5205479452054794,0.039473684210526314
136,A Ashish Reddy,15,193,280,23,16,15,8,0.34782608695652173,18.666666666666668,126,162,0.7777777777777778,0.16062176165803108
137,MV Boucher,14,307,394,23,32,13,9,0.391304347826087,28.142857142857142,188,262,0.7175572519083969,0.1465798045602606
138,RN ten Doeschate,14,235,326,21,26,15,7,0.3333333333333333,23.285714285714285,132,194,0.6804123711340206,0.17446808510638298
139,Z Khan,14,140,117,27,11,2,13,0.48148148148148145,8.357142857142858,61,127,0.48031496062992124,0.09285714285714286
140,DB Das,14,260,304,22,23,16,8,0.36363636363636365,21.714285714285715,116,221,0.5248868778280543,0.15
141,UT Yadav,13,126,127,33,11,4,20,0.6060606060606061,9.76923076923077,59,111,0.5315315315315315,0.11904761904761904
142,MG Johnson,13,163,168,28,10,7,15,0.5357142857142857,12.923076923076923,86,146,0.589041095890411,0.10429447852760736
143,RJ Harris,12,111,117,21,6,3,9,0.42857142857142855,9.75,75,102,0.7352941176470589,0.08108108108108109
